지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2018-11-17,1.8,98.4
923,기장,2018-11-18,1.5,331.9
923,기장,2018-11-19,1.8,45
923,기장,2018-11-20,1.7,45
923,기장,2018-11-21,1.4,334.7
923,기장,2018-11-22,1.8,8.4
923,기장,2018-11-23,1.7,30.9
923,기장,2018-11-24,1.8,227.8
923,기장,2018-11-25,1.6,270
923,기장,2018-11-26,1.7,337.5
923,기장,2018-11-27,1.8,345.9
923,기장,2018-11-28,2,42.2
923,기장,2018-11-29,1.6,216.6
923,기장,2018-11-30,1.6,261.6
923,기장,2018-12-01,1.9,61.9
