date,wind_max,wind_dir
2018-08-22,35.6,89
2018-08-23,34.9,95
2018-08-24,47.5,213
2018-08-25,16.6,251
2018-08-26,23.9,208
2018-08-27,21.9,223
2018-08-28,15.3,231
2018-08-29,21.6,215
2018-08-30,23.3,231
2018-08-31,21.6,246
2018-09-01,23.0,64
2018-09-02,20.2,52
2018-09-03,29.2,183
2018-09-04,20.2,269
2018-09-05,27.3,254
2018-09-06,12.8,246
2018-09-07,22.2,237
2018-09-08,14.0,354
2018-09-09,17.6,15
2018-09-10,26.3,29
2018-09-11,30.5,41
2018-09-12,19.0,38
2018-09-13,20.9,42
2018-09-14,23.1,54
2018-09-15,20.2,51
2018-09-16,14.2,252
2018-09-17,13.8,320
2018-09-18,12.9,176
2018-09-19,12.6,66
2018-09-20,22.5,55
2018-09-21,18.6,41
2018-09-22,15.0,282
2018-09-23,14.7,256
2018-09-24,18.7,335
2018-09-25,24.0,18
2018-09-26,28.1,36
2018-09-27,24.3,29
2018-09-28,20.7,36
2018-09-29,16.6,29
2018-09-30,26.1,347
2018-10-01,26.1,278
2018-10-02,11.9,291
2018-10-03,11.5,357
2018-10-04,29.6,48
2018-10-05,39.0,47
2018-10-06,74.8,150
2018-10-07,11.6,289
2018-10-08,20.3,359
2018-10-09,16.9,29
2018-10-10,23.5,316
2018-10-11,25.5,326
2018-10-12,16.6,348
2018-10-13,18.8,14
2018-10-14,11.4,335
2018-10-15,15.8,346
2018-10-16,11.8,334
2018-10-17,9.2,333
2018-10-18,15.0,339
2018-10-19,19.7,355
2018-10-20,11.6,15
2018-10-21,9.5,19
